The start time is: Sun, 19 Jun 2022 15:20:23
Input file: C:\Users\Sumpaame\Desktop\FYP\PubChem_compound_2100.sdf
Output file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\output.txt
Report file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\report.txt

ReadIn_ID	USER_ID	Status	Time(s)
868		Ok	0.031
867		Ok	0.016
866		Ok	0.015
865		Ok	0.016
864		Ok	0.016
863		Ok	0.015
862		Ok	0.016
861		Ok	0.016
860		Ok	0.031
859		Ok	0
858		Ok	0.015
857		Ok	0.016
856		Ok	0.016
855		Ok	0
854		Ok	0.031
853		Ok	0.015
852		Ok	0.032
851		Ok	0.015
850		Ok	0.032
849		Ok	0.047
848		Ok	0.015
847		Ok	0.031
846		Ok	0.047
845		Ok	0.016
844		Ok	0.047
843		Ok	0.031
842		Ok	0.031
841		Ok	0.125
840		Ok	0.078
839		Ok	0.016
838		Ok	0.016
837		Ok	0.015
836		Ok	0.016
835		Ok	0
834		Ok	0.016
833		Ok	0.046
832		Ok	0.203
831		Ok	0.031
830		Ok	0
829		Ok	0.062
828		Ok	0
827		Ok	0.016
826		Ok	0.016
825		Ok	0.015
824		Ok	0.016
823		Ok	0.015
822		Ok	0.016
821		Ok	0.063
820		Ok	0.015
819		Ok	0.047
818		Ok	0.078
817		Ok	0.047
816		Ok	0.016
815		Ok	0.015
814		Ok	0.032
813		Ok	0.015
812		Ok	0.031
811		Ok	0.016
810		Ok	0
809		Ok	0.063
808		Ok	0.015
807		Ok	0.031
806		Ok	0.063
805		Ok	0
804		Ok	0.016
803		Ok	0.078
802		Ok	0
801		Ok	0.031
800		Ok	0
799		Ok	0.031
798		Ok	0.063
797		Ok	0.015
796		Ok	0.047
795		Ok	0.016
794		Ok	0.047
793		Ok	0.015
792		Ok	0.016
791		Ok	0.062
790		Ok	0.094
789		Ok	0.016
788		Ok	0.062
787		Ok	0.032
786		Ok	0.078
785		Ok	0.078
784		Ok	0
783		Ok	0.031
782		Ok	0.078
781		Ok	0.094
780		Ok	0
779		Ok	0.016
778		Ok	0
