The start time is: Mon, 27 Jun 2022 23:46:42
Input file: C:\Users\Sumpaame\Desktop\FYP\PubChem_substance_cache_qu0NKMIOp7KQmKWBJ_nsrXLg5oCDG2DxGtR7vQHFabwB3FU_records.sdf
Output file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\output.txt
Report file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\report.txt

ReadIn_ID	USER_ID	Status	Time(s)
420		Ok	0.014
419		Ok	0.055
418		Ok	0.036
417		Ok	0.044
416		Ok	0.017
415		Ok	0.097
414		Ok	0.03
413		Ok	0.027
412		Ok	0.012
411		Ok	0.017
410		Ok	0.034
409		Ok	0.023
408		Ok	0.055
407		Ok	0.093
406		Ok	0.02
405		Ok	0.024
404		Ok	0.053
403		Ok	0.015
402		Ok	0.06
401		Ok	0.017
400		Ok	0.061
399		Ok	0.018
398		Ok	0.006
397		Ok	0.056
396		Ok	0.093
395		Ok	0.021
394		Ok	0.022
393		Ok	0.023
392		Ok	0.02
391		Ok	0.01
390		Ok	0.01
389		Ok	0.03
388		Ok	0.05
387		Ok	0.011
386		Ok	0.06
385		Ok	0.01
384		Ok	0.059
383		Subgroup deleted	0.018
382		Ok	0.069
381		Ok	0.065
380		Ok	0.044
379		Ok	0.019
378		Ok	0.042
377		Ok	0.025
376		Ok	0.102
375		Ok	0.007
374		Ok	0.019
373		Ok	0.049
372		Ok	0.011
371		Ok	0.064
370		Ok	0.133
369		Ok	0.091
368		Ok	0.025
367		Ok	0.024
366		Ok	0.006
365		Ok	0.072
364		Ok	0.014
363		Ok	0.007
362		Ok	0.083
361		Ok	0.042
360		Ok	0.107
359		Ok	0.01
358		Ok	0.071
357		Ok	0.075
356		Ok	0.025
355		Ok	0.017
354		Ok	0.072
353		Ok	0.028
352		Ok	0.057
351		Ok	0.032
350		Ok	0.029
349		Ok	0.017
348		Ok	0.029
347		Ok	0.052
346		Ok	0.008
345		Ok	0.007
344		Ok	0.066
343		Ok	0.024
342		Ok	0.031
341		Ok	0.038
340		Ok	0.021
339		Ok	0.041
338		Ok	0.018
337		Ok	0.027
336		Ok	0.015
335		Ok	0.035
334		Ok	0.019
333		Ok	0.03
332		Ok	0.055
331		Ok	0.018
330		Ok	0.022
329		Ok	0.013
328		Ok	0.044
327		Ok	0.02
326		Ok	0.03
325		Ok	0.054
324		Ok	0.011
323		Ok	0.03
322		Ok	0.015
321		Ok	0.044
320		Ok	0.015
319		Ok	0.023
318		Ok	0.015
317		Ok	0.052
316		Ok	0.031
315		Ok	0.018
314		Ok	0.05
313		Ok	0.037
312		Ok	0.048
311		Ok	0.005
310		Ok	0.03
309		Ok	0.077
308		Ok	0.082
307		Ok	0.007
306		Ok	0.033
305		Ok	0.014
304		Ok	0.049
303		Ok	0.031
302		Ok	0.024
301		Ok	0.039
300		Ok	0.012
299		Ok	0.034
298		Ok	0.05
297		Ok	0.036
296		Ok	0.048
295		Ok	0.048
294		Ok	0.022
293		Ok	0.037
292		Ok	0.016
291		Ok	0.038
290		Ok	0.042
289		Ok	0.062
288		Ok	0.005
287		Ok	0.046
286		Ok	0.042
285		Ok	0.009
284		Ok	0.014
283		Ok	0.104
282		Ok	0.018
281		Ok	0.01
280		Ok	0.074
279		Ok	0.06
278		Ok	0.008
277		Ok	0.074
276		Ok	0.042
275		Ok	0.019
274		Ok	0.012
273		Ok	0.059
272		Ok	0.129
271		Ok	0.072
270		Ok	0.06
269		Ok	0.058
268		Ok	0.068
267		Ok	0.105
266		Ok	0.072
265		Ok	0.013
264		Ok	0.017
263		Ok	0.063
262		Ok	0.075
261		Ok	0.055
260		Ok	0.015
259		Subgroup deleted	0.058
258		Ok	0.027
257		Ok	0.031
256		Ok	0.027
255		Ok	0.034
254		Ok	0.02
253		Ok	0.033
252		Ok	0.008
251		Ok	0.009
250		Ok	0.045
249		Ok	0.016
248		Ok	0.057
247		Ok	0.107
246		Ok	0.011
245		Ok	0.072
244		Ok	0.137
243		Ok	0.021
242		Ok	0.018
241		Ok	0.015
240		Ok	0.018
239		Ok	0.118
238		Ok	0.017
237		Ok	0.011
236		Ok	0.009
235		Ok	0.015
234		Ok	0.049
233		Ok	0.023
232		Ok	0.019
231		Ok	0.014
230		Ok	0.018
229		Ok	0.038
228		Ok	0.021
227		Ok	0.009
226		Ok	0.05
225		Ok	0.031
224		Ok	0.043
223		Ok	0.041
222		Ok	0.028
221		Ok	0.018
220		Ok	0.045
219		Ok	0.057
218		Ok	0.023
217		Ok	0.036
216		Ok	0.008
215		Ok	0.037
214		Ok	0.094
213		Ok	0.051
212		Ok	0.034
211		Ok	0.03
210		Ok	0.077
209		Ok	0.056
208		Ok	0.037
207		Ok	0.024
206		Ok	0.076
205		Ok	0.051
204		Ok	0.051
203		Ok	0.096
202		Ok	0.041
201		Ok	0.007
200		Ok	0.038
199		Ok	0.061
198		Ok	0.02
197		Ok	0.027
196		Ok	0.068
195		Ok	0.045
194		Ok	0.064
193		Ok	0.012
192		Ok	0.062
191		Ok	0.017
190		Ok	0.034
189		Ok	0.014
188		Ok	0.033
187		Ok	0.008
186		Ok	0.011
185		Ok	0.035
184		Ok	0.039
183		Ok	0.026
182		Ok	0.03
181		Ok	0.054
180		Ok	0.042
179		Ok	0.046
178		Ok	0.013
177		Ok	0.053
176		Ok	0.093
175		Ok	0.069
174		Ok	0.043
173		Ok	0.055
172		Ok	0.071
171		Ok	0.069
170		Ok	0.065
169		Ok	0.054
168		Ok	0.067
167		Ok	0.055
166		Ok	0.019
165		Ok	0.046
164		Ok	0.081
163		Ok	0.063
162		Ok	0.018
161		Ok	0.057
160		Ok	0.067
159		Ok	0.045
158		Subgroup deleted	0.012
157		Ok	0.086
156		Ok	0.146
155		Ok	0.072
154		Ok	0.08
153		Subgroup deleted	0.058
152		Ok	0.092
151		Ok	0.067
150		Ok	0.009
149		Ok	0.005
148		Ok	0.155
147		Ok	0.013
146		Ok	0.052
145		Ok	0.009
144		Ok	0.162
143		Ok	0.018
142		Ok	0.045
141		Ok	0.015
140		Ok	0.074
139		Ok	0.007
138		Ok	0.038
137		Ok	0.009
136		Ok	0.022
135		Ok	0.018
134		Ok	0.051
133		Ok	0.038
132		Ok	0.009
131		Ok	0.027
130		Ok	0.018
129		Ok	0.007
128		Ok	0.036
127		Ok	0.017
126		Ok	0.041
125		Ok	0.035
124		Ok	0.068
123		Ok	0.079
122		Ok	0.071
121		Ok	0.047
120		Ok	0.035
119		Ok	0.013
118		Ok	0.034
117		Ok	0.058
116		Ok	0.033
115		Ok	0.01
114		Ok	0.044
113		Ok	0.026
112		Subgroup deleted	0.073
111		Ok	0.012
110		Ok	0.012
109		Ok	0.014
108		Ok	0.01
107		Ok	0.051
106		Ok	0.011
105		Ok	0.039
104		Ok	0.058
103		Ok	0.037
102		Ok	0.082
101		Ok	0.016
100		Ok	0.008
99		Ok	0.054
98		Ok	0.025
97		Ok	0.02
96		Ok	0.036
95		Ok	0.007
94		Ok	0.041
93		Ok	0.022
92		Subgroup deleted	0.027
91		Ok	0.031
90		Ok	0.033
89		Ok	0.047
88		Ok	0.008
87		Ok	0.037
86		Ok	0.055
85		Ok	0.01
84		Ok	0.028
83		Ok	0.013
82		Ok	0.065
81		Ok	0.052
80		Ok	0.013
79		Ok	0.027
78		Ok	0.064
77		Subgroup deleted	0.02
76		Ok	0.038
75		Ok	0.011
74		Ok	0.05
73		Ok	0.019
72		Ok	0.049
71		Ok	0.012
70		Ok	0.013
69		Ok	0.058
68		Subgroup deleted	0.055
67		Subgroup deleted	0.012
66		Ok	0.13
65		Ok	0.046
64		Ok	0.025
63		Ok	0.111
62		Ok	0.063
61		Ok	0.024
60		Ok	0.086
59		Ok	0.147
58		Ok	0.023
57		Ok	0.055
56		Ok	0.098
55		Ok	0.039
54		Ok	0.08
53		Ok	0.086
52		Ok	0.015
51		Ok	0.012
50		Ok	0.037
49		Ok	0.031
48		Ok	0.026
47		Ok	0.038
46		Ok	0.008
45		Ok	0.006
44		Ok	0.142
43		Ok	0.019
42		Ok	0.047
41		Ok	0.01
40		Ok	0.01
39		Ok	0.045
38		Ok	0.01
37		Ok	0.005
36		Ok	0.112
35		Ok	0.004
34		Ok	0.013
33		Ok	0.009
32		Ok	0.04
31		Ok	0.021
30		Ok	0.113
29		Ok	0.023
28		Ok	0.046
27		Ok	0.054
26		Ok	0.01
25		Ok	0.01
24		Ok	0.115
23		Ok	0.018
22		Ok	0.006
21		Subgroup deleted	0.06
20		Ok	0.048
19		Subgroup deleted	0.052
18		Ok	0.065
17		Ok	0.078
16		Ok	0.057
15		Ok	0.01
14		Ok	0.007
13		Ok	0.044
12		Ok	0.06
11		Ok	0.053
10		Ok	0.094
9		Ok	0.079
8		Ok	0.037
7		Ok	0.07
6		Subgroup deleted	0.065
5		Ok	0.076
4		Ok	0.023
3		Ok	0.028
2		Ok	0.012
1		Ok	0.064

The finish time is: Mon, 27 Jun 2022 23:46:47
